case_id,symptom,expected_fault,ai_root_cause,osi_layer,concept,severity,recommendation,match,diagnosis_source
CASE011,PC does not receive an IP address,DHCP service or pool is unavailable,DHCP service or pool is unavailable,Layer 7,DHCP,High,Check the DHCP configuration and verify that the client is connected correctly.,True,rule_based
CASE012,PC receives an address from the wrong network,DHCP pool has incorrect network configuration,DHCP pool has incorrect network configuration,Layer 7,DHCP Pool,High,Verify the DHCP pool and network configuration.,True,rule_based
CASE013,PC receives an incorrect default gateway,Incorrect default-router option in DHCP pool,Incorrect default-router option in DHCP pool,Layer 7,DHCP Gateway,High,Check the DHCP pool network and default gateway settings.,True,rule_based
CASE014,DHCP clients cannot obtain addresses,DHCP pool is missing or incorrectly configured,DHCP pool is missing or incorrectly configured,Layer 7,DHCP,High,Verify DHCP pool availability and configuration.,True,rule_based
CASE015,IP connectivity works but domain name does not resolve,Incorrect DNS server configured on client,Incorrect DNS server configured on client,Layer 7,DNS,Medium,Check DNS configuration and test connectivity to the DNS server.,True,rule_based
CASE016,Client cannot resolve server name,Client points to incorrect DNS server,Client points to incorrect DNS server,Layer 7,DNS Resolution,High,Verify the DNS server address and DNS service configuration.,True,rule_based
CASE017,DNS server is unreachable,DNS server is in an unreachable subnet,DNS server is in an unreachable subnet,Layer 3,DNS Connectivity,High,Check connectivity between the client and DNS server.,True,rule_based
CASE018,DHCP client receives IP but cannot resolve hostnames,Incorrect DNS server address supplied by DHCP,Incorrect DNS server address supplied by DHCP,Layer 7,DHCP/DNS,Medium,Verify the DHCP-assigned IP configuration and gateway.,True,rule_based
CASE019,Remote network cannot be reached,Missing route to remote network,Missing route to remote network,Layer 3,Static Routing,High,Check the routing table and verify a route exists to the remote network.,True,rule_based
CASE020,Router has route but traffic still fails,Incorrect next-hop address in static route,Incorrect next-hop address in static route,Layer 3,Routing,High,Verify the routing configuration and next-hop information.,True,rule_based
CASE021,Two routers cannot communicate,Router interface toward remote network is shutdown,Router interface toward remote network is shutdown,Layer 1,Routing Interface,High,Check the connection and IP configuration between the routers.,True,rule_based
CASE022,Remote network is unreachable after topology change,Required static route was removed,Required static route was removed,Layer 3,Routing Table,High,Verify routes after the topology change.,True,rule_based
CASE023,Traffic is blocked even though routing is correct,ACL denies traffic from source network,ACL denies traffic from source network,Layer 3,ACL,High,Check ACL rules that may be blocking the traffic.,True,rule_based
CASE024,PC cannot access server but other traffic works,ACL blocks HTTP traffic,ACL blocks HTTP traffic,Layer 4,ACL/HTTP,Medium,Review the ACL and verify whether the required server traffic is permitted.,True,rule_based
CASE025,All traffic from a subnet is blocked,ACL contains an incorrect deny statement,ACL contains an incorrect deny statement,Layer 3,ACL,High,Check the ACL for a subnet-wide deny rule.,True,rule_based
CASE026,ACL appears correct but traffic is still blocked,ACL applied in the wrong direction/interface,ACL applied in the wrong direction/interface,Layer 3,ACL Direction,High,"Verify ACL direction, interface and rule ordering.",True,rule_based
CASE027,Internal PC cannot access external network,NAT configuration is missing or inactive,NAT configuration is missing or inactive,Layer 3,NAT,High,Check NAT configuration and translation rules.,True,rule_based
CASE028,Private IP is not translated to public IP,NAT inside/outside interface configuration is incorrect,NAT inside/outside interface configuration is incorrect,Layer 3,NAT,High,Verify NAT inside/outside interfaces and translation rules.,True,rule_based
CASE029,Only some internal hosts can access outside network,NAT access list does not include all internal hosts,NAT access list does not include all internal hosts,Layer 3,NAT ACL,Medium,Check NAT configuration and the internal/external network settings.,True,rule_based
CASE030,Wireless client cannot obtain network connectivity,Wireless client is not properly associated with the access point,Wireless client is not properly associated with the access point,Layer 2,Wireless,High,"Check the wireless configuration, SSID and client network settings.",True,rule_based
